ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
ZIMKOX.Fe(ii).pdb,N,N,N,N,N,N,2.114330768585205,2.1152303218841553,2.1691291332244873,2.1694118976593018,2.2330775260925293,2.233424663543701,2
QELJUP.Fe(ii).pdb,N,N,N,N,N,N,1.962330937385559,1.9626221656799316,1.9652360677719116,1.9684128761291504,1.9714245796203613,1.980413794517517,2
QELJUP.Fe(ii).pdb,N,N,N,N,N,N,1.954224944114685,1.9583536386489868,1.9640824794769287,1.9667571783065796,1.9675745964050293,1.9753834009170532,2
WITBEJ.Fe(ii).pdb,N,N,N,CL,CL,NE,2.168733835220337,2.178683042526245,2.278219223022461,2.3272783756256104,2.4477813243865967,100.0,2
FOLXIQ.Fe(ii).pdb,N,N,N,N,N,N,2.1194984912872314,2.1198649406433105,2.185908079147339,2.1867611408233643,2.19681978225708,2.1979286670684814,2
YAHKIF.Fe(ii).pdb,O,O,O,NE,NE,NE,2.089888095855713,2.089888095855713,2.1192831993103027,100.0,100.0,100.0,2
YAHKIF.Fe(ii).pdb,O,NE,NE,NE,NE,NE,2.119283437728882,100.0,100.0,100.0,100.0,100.0,2
DABRUU.Fe(ii).pdb,N,N,C,NE,NE,NE,1.9665340185165405,1.9741829633712769,1.999418020248413,100.0,100.0,100.0,2
DABRUU.Fe(ii).pdb,N,N,C,NE,NE,NE,1.9585968255996704,1.974197268486023,1.9963948726654053,100.0,100.0,100.0,2
RIQZIB.Fe(ii).pdb,C,C,C,C,C,C,2.003485679626465,2.0149648189544678,2.0449445247650146,2.0487558841705322,2.0488483905792236,2.058605432510376,2
GIMMIZ.Fe(ii).pdb,N,N,CL,CL,NE,NE,2.176316976547241,2.2571802139282227,2.4036483764648438,2.403940439224243,100.0,100.0,2
GIMMIZ.Fe(ii).pdb,N,N,NE,NE,NE,NE,2.176316976547241,2.2571799755096436,100.0,100.0,100.0,100.0,2
PELXOU.Fe(ii).pdb,O,O,O,N,N,N,2.067999839782715,2.0857913494110107,2.08579158782959,2.1120002269744873,2.2736971378326416,2.2736971378326416,2
YENKOS.Fe(ii).pdb,C,C,C,C,C,C,2.0317492485046387,2.0411531925201416,2.0421383380889893,2.051276445388794,2.052577018737793,2.052598237991333,2
YENKOS.Fe(ii).pdb,C,C,C,C,C,C,2.031240463256836,2.0419816970825195,2.0421385765075684,2.050128936767578,2.0516357421875,2.0521657466888428,2
ULOVOI.Fe(ii).pdb,O,C,B,B,NE,NE,2.0925710201263428,2.1204352378845215,2.4091999530792236,2.4151618480682373,100.0,100.0,2
YIDPEI.Fe(ii).pdb,C,C,C,C,C,C,2.0293476581573486,2.03035306930542,2.03196120262146,2.0380802154541016,2.0384726524353027,2.0387892723083496,2
UDAYIL01.Fe(ii).pdb,N,N,N,N,N,N,2.1920557022094727,2.1920557022094727,2.214693784713745,2.214693784713745,2.2185425758361816,2.2185425758361816,2
LACDAY02.Fe(ii).pdb,N,N,N,N,N,N,2.091210126876831,2.0919063091278076,2.0936999320983887,2.093700885772705,2.0962769985198975,2.097008466720581,2
LACDAY02.Fe(ii).pdb,O,O,N,N,N,O,2.1101534366607666,2.1176934242248535,2.125469923019409,2.128627300262451,2.1328439712524414,2.152405023574829,2
LACDAY02.Fe(ii).pdb,O,O,N,N,O,N,2.1162109375,2.119203567504883,2.1271231174468994,2.1303277015686035,2.1384263038635254,2.150343418121338,2
LACDAY02.Fe(ii).pdb,O,N,O,N,N,O,2.1184682846069336,2.126392126083374,2.127507209777832,2.1278553009033203,2.142460823059082,2.1620445251464844,2
LACDAY02.Fe(ii).pdb,O,O,N,N,O,N,2.123131275177002,2.1288557052612305,2.1421008110046387,2.1475257873535156,2.1506309509277344,2.1517043113708496,2
